epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.792,1.27856,1.50386,1.61675,0.00895,0.22879,0.00398,0.00094,4.27293,inf,23.8593,0.000654971,0.000654971,0.000654971
2,161.749,1.40437,1.24716,1.70381,0.00478,0.28535,0.00309,0.00116,3.18889,inf,7.05575,0.00130855,0.00130855,0.00130855
3,223.222,1.32265,1.1261,1.62705,0.22722,0.36504,0.18395,0.08193,1.97053,5.55699,3.3223,0.00194894,0.00194894,0.00194894
4,290.112,1.31106,1.08758,1.61544,0.46567,0.32934,0.31841,0.16605,2.10728,2.68555,2.93994,0.0019406,0.0019406,0.0019406
5,357.073,1.27217,1.00741,1.57941,0.53439,0.37765,0.35477,0.15725,2.53247,2.97369,2.99478,0.0019208,0.0019208,0.0019208
6,424.858,1.27761,1.02064,1.56425,0.69898,0.61697,0.67075,0.36653,1.69781,1.51448,2.36056,0.001901,0.001901,0.001901
7,485.938,1.23824,0.97026,1.54662,0.89091,0.81234,0.88779,0.58944,1.14216,0.98625,1.58362,0.0018812,0.0018812,0.0018812
8,557.988,1.21232,0.91011,1.51474,0.91368,0.81634,0.89575,0.59201,1.20275,0.74726,1.66436,0.0018614,0.0018614,0.0018614
9,619.157,1.17673,0.87383,1.49198,0.89036,0.85347,0.92689,0.58928,1.20883,0.76899,1.57749,0.0018416,0.0018416,0.0018416
10,685.791,1.14272,0.83159,1.45783,0.90476,0.8792,0.93693,0.63268,1.1528,0.69441,1.534,0.0018218,0.0018218,0.0018218
11,751.082,1.13321,0.83265,1.45233,0.90094,0.81827,0.92459,0.60058,1.20311,0.77097,1.62001,0.001802,0.001802,0.001802
12,817.411,1.11624,0.81177,1.45194,0.91772,0.86017,0.94192,0.62592,1.16505,0.78122,1.5677,0.0017822,0.0017822,0.0017822
13,887.669,1.12449,0.80911,1.45171,0.94574,0.89617,0.96271,0.67534,1.05566,0.62986,1.49501,0.0017624,0.0017624,0.0017624
14,950.999,1.12318,0.78542,1.45102,0.92725,0.90746,0.95622,0.69969,1.03511,0.6404,1.41967,0.0017426,0.0017426,0.0017426
15,1015.01,1.10279,0.77727,1.43847,0.91488,0.85654,0.93935,0.6226,1.20555,0.67782,1.64695,0.0017228,0.0017228,0.0017228
16,1084.04,1.11669,0.79788,1.43248,0.88202,0.82643,0.91486,0.56529,1.26593,0.73285,1.7489,0.001703,0.001703,0.001703
17,1149.71,1.07834,0.74213,1.42144,0.91963,0.94087,0.97642,0.70921,0.99036,0.56739,1.43139,0.0016832,0.0016832,0.0016832
18,1213.19,1.06133,0.7319,1.3959,0.93122,0.89717,0.95778,0.66486,1.0947,0.57846,1.5039,0.0016634,0.0016634,0.0016634
19,1279.64,1.06767,0.70979,1.41116,0.93413,0.87147,0.94783,0.6606,1.08686,0.6643,1.5046,0.0016436,0.0016436,0.0016436
20,1344.2,1.03234,0.70242,1.37271,0.94299,0.9126,0.96724,0.69517,1.09295,0.56213,1.47943,0.0016238,0.0016238,0.0016238
21,1409.23,1.07879,0.71165,1.40219,0.91307,0.91802,0.966,0.69198,1.03067,0.55889,1.44233,0.001604,0.001604,0.001604
22,1477.97,1.03507,0.68546,1.38247,0.83968,0.81234,0.89538,0.63432,1.03368,0.73424,1.49457,0.0015842,0.0015842,0.0015842
23,1545.86,1.04014,0.70687,1.38542,0.87771,0.74293,0.86354,0.56135,1.26464,0.84776,1.67188,0.0015644,0.0015644,0.0015644
24,1605.3,1.0168,0.69981,1.37167,0.92878,0.79434,0.92387,0.66013,1.03914,0.66634,1.48317,0.0015446,0.0015446,0.0015446
25,1674.44,1.04117,0.70826,1.3827,0.91375,0.89875,0.96262,0.69385,0.97937,0.55316,1.41222,0.0015248,0.0015248,0.0015248
26,1739.05,1.02134,0.69373,1.36239,0.93072,0.93059,0.97744,0.72131,0.9438,0.52486,1.35995,0.001505,0.001505,0.001505
27,1804.48,1.00163,0.66934,1.34587,0.93831,0.93833,0.9776,0.70694,0.9815,0.52938,1.40606,0.0014852,0.0014852,0.0014852
28,1865.11,0.99888,0.65676,1.35028,0.90495,0.90556,0.96175,0.65392,1.04822,0.60572,1.47026,0.0014654,0.0014654,0.0014654
29,1934.36,1.00138,0.67014,1.35087,0.97474,0.89286,0.97391,0.69703,0.97418,0.54538,1.38585,0.0014456,0.0014456,0.0014456
30,2002.7,1.02302,0.67845,1.36401,0.96854,0.94959,0.98344,0.72725,0.94372,0.47199,1.3386,0.0014258,0.0014258,0.0014258
31,2059.66,0.99559,0.66722,1.35135,0.89934,0.82684,0.92261,0.64533,1.07893,0.67233,1.54804,0.001406,0.001406,0.001406
32,2125.77,0.98814,0.6416,1.34684,0.92458,0.91389,0.96417,0.69066,1.01444,0.55094,1.41016,0.0013862,0.0013862,0.0013862
33,2190.46,0.99027,0.65086,1.3463,0.94532,0.89974,0.96483,0.69637,0.98534,0.55461,1.41644,0.0013664,0.0013664,0.0013664
34,2259.12,0.9666,0.63446,1.3229,0.94483,0.92446,0.96644,0.71229,0.98072,0.49734,1.38727,0.0013466,0.0013466,0.0013466
35,2322.7,0.96567,0.62869,1.33208,0.94326,0.94602,0.97617,0.69879,1.00291,0.53245,1.41337,0.0013268,0.0013268,0.0013268
36,2388.77,0.98483,0.63598,1.33125,0.93582,0.93703,0.97598,0.68895,1.07478,0.53519,1.46141,0.001307,0.001307,0.001307
37,2459.94,0.95721,0.60843,1.3163,0.95698,0.92288,0.97572,0.72153,0.96835,0.47866,1.39376,0.0012872,0.0012872,0.0012872
38,2522.13,0.97858,0.62754,1.33006,0.95112,0.94602,0.9804,0.7218,0.9604,0.49853,1.37533,0.0012674,0.0012674,0.0012674
39,2584.11,0.94818,0.62302,1.30615,0.85687,0.70951,0.83351,0.55903,1.23254,0.83845,1.7013,0.0012476,0.0012476,0.0012476
40,2651.71,0.96411,0.61992,1.3224,0.94549,0.92545,0.97043,0.67318,1.08568,0.56302,1.50833,0.0012278,0.0012278,0.0012278
41,2715.91,0.96415,0.60069,1.32315,0.96526,0.92868,0.9782,0.72988,0.93454,0.46993,1.34894,0.001208,0.001208,0.001208
42,2784.55,0.94609,0.61885,1.31299,0.9459,0.92288,0.9753,0.70682,1.00171,0.50311,1.40908,0.0011882,0.0011882,0.0011882
43,2848.55,0.9353,0.59828,1.30717,0.94565,0.91517,0.97171,0.72071,0.9472,0.51124,1.35746,0.0011684,0.0011684,0.0011684
44,2909.03,0.93854,0.58648,1.29828,0.96584,0.94489,0.98806,0.73019,0.93263,0.45716,1.36152,0.0011486,0.0011486,0.0011486
45,2978.91,0.94827,0.60369,1.30526,0.94648,0.93573,0.97723,0.72559,0.93327,0.47719,1.3167,0.0011288,0.0011288,0.0011288
46,3046,0.94248,0.59431,1.30539,0.96485,0.93316,0.97996,0.72335,0.93904,0.46441,1.36511,0.001109,0.001109,0.001109
47,3107.27,0.92924,0.57598,1.29391,0.94724,0.96144,0.98154,0.73528,0.91086,0.43727,1.33599,0.0010892,0.0010892,0.0010892
48,3173.34,0.93248,0.58962,1.30157,0.9757,0.92889,0.98524,0.74629,0.91278,0.477,1.29705,0.0010694,0.0010694,0.0010694
49,3239.57,0.92883,0.58597,1.29305,0.94198,0.96002,0.98095,0.72641,1.01259,0.46654,1.45374,0.0010496,0.0010496,0.0010496
50,3305.98,0.93372,0.56717,1.29737,0.96388,0.95373,0.98344,0.70618,0.9342,0.45229,1.34616,0.0010298,0.0010298,0.0010298
51,3370.63,0.90504,0.57066,1.27752,0.95847,0.94924,0.98776,0.73671,0.9403,0.438,1.34501,0.00101,0.00101,0.00101
52,3439.74,0.94291,0.5898,1.29988,0.97083,0.94106,0.97902,0.73173,0.93114,0.44158,1.33642,0.0009902,0.0009902,0.0009902
53,3505.81,0.90025,0.56032,1.28107,0.96674,0.94087,0.9844,0.7425,0.91306,0.40909,1.31164,0.0009704,0.0009704,0.0009704
54,3571.11,0.89367,0.55814,1.2686,0.95205,0.94859,0.98219,0.74941,0.89984,0.43669,1.2937,0.0009506,0.0009506,0.0009506
55,3637.12,0.88604,0.54757,1.25924,0.95594,0.94859,0.98094,0.7454,0.89504,0.43398,1.31935,0.0009308,0.0009308,0.0009308
56,3702.34,0.89123,0.53427,1.25764,0.96102,0.95077,0.98509,0.74245,0.8964,0.42531,1.27814,0.000911,0.000911,0.000911
57,3769.15,0.9106,0.55241,1.28347,0.95505,0.9286,0.98143,0.74301,0.88773,0.43502,1.30758,0.0008912,0.0008912,0.0008912
58,3845.21,0.89032,0.54524,1.26469,0.95957,0.91514,0.96968,0.7164,0.93106,0.47705,1.32641,0.0008714,0.0008714,0.0008714
59,3914.35,0.89319,0.53141,1.27307,0.94737,0.92555,0.97964,0.71896,0.95167,0.47406,1.34614,0.0008516,0.0008516,0.0008516
60,3980.28,0.88658,0.53952,1.25951,0.95322,0.94859,0.9823,0.72927,0.9363,0.42966,1.34841,0.0008318,0.0008318,0.0008318
61,4049.74,0.87774,0.53177,1.24956,0.94666,0.95808,0.9858,0.74112,0.91323,0.42658,1.32637,0.000812,0.000812,0.000812
62,4115.19,0.8878,0.53297,1.24979,0.9551,0.9563,0.98461,0.74758,0.89465,0.42057,1.29035,0.0007922,0.0007922,0.0007922
63,4182.69,0.87839,0.54382,1.24769,0.95542,0.95116,0.98117,0.73141,0.93318,0.46157,1.32857,0.0007724,0.0007724,0.0007724
64,4250.12,0.87624,0.53187,1.24368,0.96882,0.94344,0.98303,0.74612,0.91121,0.41918,1.35102,0.0007526,0.0007526,0.0007526
65,4324.7,0.84311,0.51641,1.23305,0.96653,0.94602,0.98626,0.74235,0.93364,0.45707,1.34023,0.0007328,0.0007328,0.0007328
66,4388.29,0.87678,0.52139,1.26058,0.9762,0.95887,0.98432,0.76117,0.86652,0.38781,1.29022,0.000713,0.000713,0.000713
67,4456.6,0.85084,0.50939,1.2403,0.9619,0.96401,0.98726,0.75736,0.88459,0.39866,1.30732,0.0006932,0.0006932,0.0006932
